Word,total_occurrences,misclassified_occurrences,misclassification_percentage
aka,1,1,100.0
straying,1,1,100.0
demented,1,1,100.0
hairdresser,1,1,100.0
coats,1,1,100.0
staring,1,1,100.0
needy,2,2,100.0
stare,1,1,100.0
whistleblowers,1,1,100.0
disrupt,4,4,100.0
luanda,1,1,100.0
dump,1,1,100.0
icij,2,2,100.0
isabel,1,1,100.0
715,1,1,100.0
appealing,1,1,100.0
discontinued,3,3,100.0
neurologists,2,2,100.0
281,1,1,100.0
geriatrics,1,1,100.0
shadowy,1,1,100.0
frameworks,1,1,100.0
capstone,1,1,100.0
goldman,1,1,100.0
sachs,1,1,100.0
eric,1,1,100.0
persistence,1,1,100.0
theunited,1,1,100.0
nvvc,1,1,100.0
cardiologists,1,1,100.0
paint,1,1,100.0
accusatory,1,1,100.0
renegotiate,1,1,100.0
reimbursed,2,2,100.0
omtzigt,1,1,100.0
reimburse,1,1,100.0
overcharging,1,1,100.0
underage,1,1,100.0
klm,1,1,100.0
scraped,1,1,100.0
prosus,1,1,100.0
enduring,1,1,100.0
janssen,1,1,100.0
322,1,1,100.0
factoring,1,1,100.0
georgette,1,1,100.0
knowledgeable,1,1,100.0
bat,1,1,100.0
sparrow,1,1,100.0
delusion,1,1,100.0
jdpeet,1,1,100.0
nn,1,1,100.0
brewer,1,1,100.0
duiven,1,1,100.0
unhappiness,1,1,100.0
prematurely,1,1,100.0
porcelain,1,1,100.0
collaction,2,2,100.0
cites,1,1,100.0
linchpin,1,1,100.0
wo,1,1,100.0
antenna,1,1,100.0
dredging,1,1,100.0
angolan,2,2,100.0
shook,1,1,100.0
dimitri,2,2,100.0
standoff,1,1,100.0
denuclearization,1,1,100.0
vietnamese,1,1,100.0
hanoi,1,1,100.0
aalsters,1,1,100.0
christoph,1,1,100.0
haese,2,2,100.0
yo,2,2,100.0
wim,1,1,100.0
dries,1,1,100.0
brandon,2,2,100.0
lewis,3,3,100.0
optimix,1,1,100.0
661,1,1,100.0
ftse,2,2,100.0
cite,1,1,100.0
blokken,1,1,100.0
weights,1,1,100.0
vrt,2,2,100.0
nws,2,2,100.0
hal,2,2,100.0
aditya,1,1,100.0
relx,1,1,100.0
lakshmi,2,2,100.0
accountants,1,1,100.0
conglomerate,1,1,100.0
p500,1,1,100.0
boele,1,1,100.0
simon,1,1,100.0
wiersma,1,1,100.0
cnbc,1,1,100.0
1733,1,1,100.0
leiden,1,1,100.0
midcap,1,1,100.0
besi,3,3,100.0
admits,3,3,100.0
bamboozling,1,1,100.0
leveraged,1,1,100.0
midcaps,1,1,100.0
410,1,1,100.0
credits,1,1,100.0
candid,1,1,100.0
fuss,1,1,100.0
strenuously,1,1,100.0
begged,1,1,100.0
tabloids,1,1,100.0
insiders,1,1,100.0
informing,1,1,100.0
dieter,1,1,100.0
zetsche,1,1,100.0
swears,1,1,100.0
